Company,Leave,Employee,Description
TALES OF SHIVA,1,Mark,mark
1Q84 THE COMPLETE TRILOGY,2,HARUKI MURAKAMI,Mark
MY KUMAN,3,Mark,Mark
THE GOD OF SMAAL THINGS,4,ARUNDHATI ROY,4TH HARPER COLLINS
THE BLACK CIRCLE,5,Mark,4TH HARPER COLLINS
THE THREE LAWS OF PERFORMANCE,6,Mark,4TH HARPER COLLINS
CHAMarkKYA MANTRA,7,Mark,4TH HARPER COLLINS
59.FLAGS,8,Mark,4TH HARPER COLLINS
THE POWER OF POSITIVE THINKING FROM,9,Mark,A & A PUBLISHER
YOU CAN IF YO THINK YO CAN,10,PEALE,A & A PUBLISHER
DONGRI SE DUBAI TAK (MPH),11,Mark,A & A PUBLISHER
MarkLANDA ADYTAN KOSH,12,Mark,AADISH BOOK DEPOT
MarkLANDA VISHAL SHABD SAGAR,13,-,AADISH BOOK DEPOT
MarkLANDA CONCISE DICT(ENG TO HINDI),14,Mark,AADISH BOOK DEPOT
LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,15,Mark,AAM COMICS
LN. MarkIK SUNDER SINGH,16,N.A,AAN COMICS
I AM KRISHMark,17,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
DON'T TEACH ME TOLERANCE INDIA,18,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
MUJHE SAHISHNUTA MAT SIKHAO BHARAT,19,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
SECRETS OF DESTINY,20,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
BHAGYA KE RAHASYA (HINDI) SECRET OF DESTINY,21,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
MEIN MANN HOON,22,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
I AM THE MIND,23,DEEP TRIVEDI,AATMARAM & SONS
THE ART OF CHOOSING,24,SHEEMark IYENGAR,ABACUS
IN SPITE OF THE GODS,25,EDWARD LUCE,ABACUS
QUESTIONS & ANWERS ABOUT THE GREAT BIBLE,26,Mark,ABC PUBLISHERS DISTRIBUTORS
NIBANDH EVAM KAHANI LEKHAN { HINDI },27,Mark,ABHI BOOKS
INDIAN ECONOMY SINCE INDEPENDENCE 27TH /E,28,UMA KAPILA,ACADEMIC FOUNDATION
ECONOMIC DEVELOPMENT AND POLICY IN INDIA,29,UMA KAPILA,ACADEMIC FOUNDATION
INDIAN ECONOMY PERFORMANCE 18TH/E  2017-2018,30,UMA KAPILA,ACADEMIC FOUNDATION
